LinearVel.X,LinearVel.Y,LinearAcc.X,LinearAcc.Y,AngularVel.Z,AngularAcc.Z,VelMulDelta.X,VelMulDelta.Y, Angvelmuldelta.Z,GTruthPosDiff.X,GTruthPosDiff.Y,GTruthRotDiff.Z
6.153849,2.764872,61.538493,27.648720,0.000000,0.000000,0.615385,0.276487,0.000000,67.012263,29.693999,0.000000,
7.089882,3.120526,9.360330,3.556537,0.000000,0.000000,0.708988,0.312053,0.000000,76.529222,32.894007,-0.052360,
8.068919,3.370499,9.790362,2.499732,-0.523599,-5.235988,0.806892,0.337050,-0.052360,86.816731,33.999532,-0.052360,
9.126286,3.395772,10.573670,0.252728,-0.523599,0.000000,0.912629,0.339577,-0.052360,97.616199,33.296089,-0.052360,
10.218186,3.262899,10.919007,-1.328728,-0.523599,0.000000,1.021819,0.326290,-0.052360,108.618354,31.195391,-0.052360,
11.321949,3.000140,11.037628,-2.627589,-0.523599,0.000000,1.132195,0.300014,-0.052360,119.652895,27.874567,-0.052360,
12.423679,2.619652,11.017297,-3.804884,-0.523599,0.000000,1.242368,0.261965,-0.052360,130.605982,23.412089,-0.052360,
13.512956,2.126939,10.892772,-4.927128,-0.523599,0.000000,1.351296,0.212694,-0.052360,141.380204,17.845621,-0.052360,
14.580680,1.524962,10.677239,-6.019768,-0.523599,0.000000,1.458068,0.152496,-0.052360,151.888853,11.199445,-0.052360,
15.618293,0.815899,10.376129,-7.090626,-0.523599,0.000000,1.561829,0.081590,-0.052360,162.047308,3.494871,-0.052360,
16.617488,0.001921,9.991953,-8.139784,-0.523599,0.000000,1.661749,0.000192,-0.052360,171.829386,-4.599307,-0.008727,
17.587021,-0.726399,9.695323,-7.283201,-0.087266,4.363323,1.758702,-0.072640,-0.008727,181.582219,-9.554849,0.000000,
18.567502,-1.085049,9.804819,-3.586502,0.000000,0.872665,1.856750,-0.108505,0.000000,191.443737,-12.055375,0.000000,
19.557046,-1.277169,9.895438,-1.921196,0.000000,0.000000,1.955705,-0.127717,0.000000,201.368048,-13.516729,0.000000,
20.551082,-1.398768,9.940361,-1.215987,0.000000,0.000000,2.055108,-0.139877,0.000000,211.321572,-14.537923,0.000000,
21.547133,-1.490491,9.960504,-0.917233,0.000000,0.000000,2.154713,-0.149049,0.000000,221.288731,-15.372688,0.000000,
